Country,Base/location,Region,Delivery system,Warhead,Remarks,Status ,Type,Lat ,Long
Turkey,Incirlik Air Base ,Adana,NATO dual-capable aircraft ,B61-3/4,US bombs for delivery by rotational F-16s from other US bases. No US fighter-wing permanently deployed,Deployed,NSNW,37,35.42
Russia,Barnaul Missile Division,Altai Krai,SS-25 ICBMs,550-800 kt warhead,Warheads for 36 ICBMs,Deployed,Strategic,53.58,83.76
Russia,Ukrainka Air Base,Amur,"Tu-95 ""Bear"" bomber ","Air-launched cruise missile, bombs",For Tu-95 Bear bombers. Weapons storage area east of base,Deployed,Strategic,51.17,128.44
Russia,Golovchino (Belgorod-22),Belgorod,N/A ,Various,National-level weapons storage site,Storage,Strategic and NSNW,50.57,35.75
Russia,Rzhanitsa (Bryansk-18),Bryansk,N/A ,Various,National-level weapons storage site,Storage,Strategic and NSNW,53.43,43.92
United States,Lawrence Livermore National Laboratory,California,N/A ,"W80-1, B83-1, W87","Warhead design, surveillance, and maintenance",Production,Strategic and NSNW,37.69,-121.71
Russia,Karabask (Chelyabinsk-115),Chelyabinsk,N/A ,Various,Possible national-level weapons storage site near Chelyabinsk-70 ,Storage,Strategic and NSNW,55.48,60.21
Russia,Trekhgorny (Zlatoust-36),Chelyabinsk,N/A ,Various,One of two warhead production plants. National-level warhead storage site ten km to the east.,Production,Strategic and NSNW,54.78,58.45
United States,F.E. Warren Air Force Base and Missile Field,"Colorado, Nebraska, Wyoming","Minuteman III ICBM, GBSD","W78-0, W87",Warheads for 150 Minuteman III ICBMs,Deployed ,Strategic,41.14,-104.86
Italy,Aviano Air Base,Friuli-Venezia Giulia,NATO dual-capable aircraft ,B61-3/4,For delivery by US F-16s of the 31st Fighter Wing,Deployed ,NSNW,46.04,12.61
United States,Kings Bay Naval Submarine Base,Georgia,"Trident II D5 SLBMs, including low-yield varient","W76-0, W76-1, W76-2, W88",For six Ohio-class SSBNs of which three to four are normally deployed and navy warhead storage site ,Deployed ,Strategic,30.79,-81.57
Russia,Belaya Air Base,Irkutsk,"Tu-22M3 ""Backfire"" bomber ","Air-launched cruise missile, bombs",For Tu-22M3 bombers. Weapons storage site west of runway,Deployed ,NSNW,52.92,103.58
Russia,Irkutsk Missile Division,Irkutsk,SS-27 ICBMs ,500 kt warhead,Warheads for 27 ICBMs,Deployed ,Strategic,52.32,104.23
Russia,Teykovo Missile Division,Ivanovo,SS-27 ICBMs,500 kt warhead,Warheads for 36 ICBMs,Deployed ,Strategic,56.85,40.53
Russia,Kolosovka (Kulikovo),Kaliningrad,N/A ,Various,Regional weapons storage sitel,Storage,Strategic and NSNW,54.8,20.3
